Position,Location,Type,Posted_Date,Description,Apply_Link
US Mortgage - Lock Desk Specialist,"Bangalore, Karnataka",Permanent,28/01/2025 2:04:04 PM,"Role Summary: The Lock Desk Specialist is responsible for lock confirmations, locking loans, lock updates, relocks, lock extensions, managing email box and dashboard queues Roles and Responsibilities Generate Initial lock confirmation. Lock, extend, re-lock and re-price loans in the pricing engine and Loan Origination System as needed, ensuring pricing calculations are correct. Monitor Encompass dashboard queues and ensure timely completion of tasks Provide support to mortgage staff for pricing inquiries, post lock questions/inquiries Assist with system enhancement/update testing Rate Lock or...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/US-MORTGAGE-LOCK-DESK-SPECIALIST-0646C256A2CF0309FC/"
Social Media Manager,"Mumbai, Maharashtra",Permanent,28/01/2025 2:04:07 PM,"Hi there! We're Alo - a do-it-all agency from Dubai and Mumbai that's in conversation with brands of all shapes and sizes across multiple geographies. We're looking for a Social Media Manager to craft epic social media plans and content timelines, create top-notch strategies, deliver mind-blowing content, and explore established and emerging platforms. Job Responsibilities: Develop innovative social media plans to enhance engagement and advocacy. Act as the strategic connector to unify the team and maximize opportunities. Oversee social media marketing plans and budgets across campaigns and...  more ->","https://jobserve.com//in/en/search-jobs-in-Mumbai,-Maharashtra,-India/SOCIAL-MEDIA-MANAGER-38A7AFEE38B4523174/"
Human Resources Executive,"Ahmedabad, Gujarat",Permanent,28/01/2025 2:04:06 PM,"Company Description Founded in 2009, 10Fingers Solutions Pvt Ltd is a leading IT Company specialized into Document Management sector with key services in document digitization and tailored document management software. Our services help businesses and professionals streamline paperwork, improve security, and enhance productivity by converting paper documents into easily accessible digital files. Role Description This is a Full time on-site role for a Human Resources Executive located in Ahmedabad. The HR Executive will be responsible for HR management, operations, employee relations, HR...  more ->",https://jobserve.com//in/en/find-jobs-in-India/HUMAN-RESOURCES-EXECUTIVE-765A90284AF7C1F798/
Director - Site Reliability Engineering,Maharashtra,Permanent,28/01/2025 2:04:08 PM,"Total Experience 18+ years Reporting to MD The Role provides the opportunities. to ensure proper business continuity through optimal capacity management of all systems involved in user journeys end to end. to ensure disaster recovery procedures are in place, regularly tested & up-to-date to set up the Tooling and Automation to ensuring monitoring & alerting setup is in place to flag off customer impacting issues in timely manner to investigate complicated production issues impacting customers globally with visibility of systems across the to ensure no major security vulnerabilities are...  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/DIRECTOR-SITE-RELIABILITY-ENGINEERING-E30389A143EE949A39/"
PYP English Facilitator,"Chennai, Tamil Nadu",Permanent,28/01/2025 2:04:09 PM,"About Lady Andal School: Lady Andal School is an authorized World School for the Primary Years Programme (PYP) by the International Baccalaureate (IB). We are a candidate school for the Middle Years Programme and the Diploma Programme. The school aims to extend itself as an IB Continuum World School. Nestled in the heart of Chennai, our institution is a beacon of holistic learning, fostering a nurturing environment for students to thrive. As we embark on a journey to expand our team, join us in shaping young minds and building futures. Explore rewarding career opportunities at Lady Andal...  more ->",https://jobserve.com//in/en/find-jobs-in-India/PYP-ENGLISH-FACILITATOR-D67DA45D0AA0F5E6EC/
Human Resources Training Development Manager,"Hyderabad, Andhra Pradesh",Permanent,28/01/2025 2:04:02 PM,"Company Description Navata Supply Chain Solutions (NSCS) is a tech-driven integrated supply chain solutions provider based in India. We offer omnichannel B2B solutions tailored to meet businesses' evolving needs. Our network of over 5,000 ecosystem partners ensures reliable and cost-effective logistics solutions, even in remote areas. Our cloud-based software, NSCS ONE, provides Real Time visibility and smart insights to optimize supply chain management. Role Description This is a Full time on-site role for a Human Resources Training Development & Compliance Manager located in Hyderabad. The...  more ->",https://jobserve.com//in/en/find-jobs-in-India/HUMAN-RESOURCES-TRAINING-DEVELOPMENT-MANAGER-148ACC32482BBDC576/
Urgent Opening- Relationship Manager/Sr Relationship Manager,"Mumbai, Maharashtra",Permanent,28/01/2025 2:04:10 PM,"Designation- Relationship Manager/Sr Relationship Manager Job Profile: Develop and provide solutions to the client's basis their requirements Conduct timely and regular follow-up with the leads and tag them on broadcasts and news articles Increase client base by meeting new clients, taking reference from the existing investors and thereby building AUM Initiate portfolio review of the existing investors in a timely manner Upsell and Cross sell products to the existing investors and keep them updated on the primary and secondary market trends Share regular updates with the investors with...  more ->","https://jobserve.com//in/en/search-jobs-in-Mumbai,-Maharashtra,-India/URGENT-OPENING-RELATIONSHIP-MANAGER-SR-RELATIONSHIP-MANAGER-D0F172CD347C0B1ECA/"
Sales Consultant,"Surat, Gujarat",Permanent,28/01/2025 2:04:04 PM,"Do you thrive in a fast-paced environment and enjoy exceeding sales goals? If so, this position is for you. We are looking for a driven and results-oriented Sales Representative to join our growing E-commerce business. Key Responsibilities: Work with warm leads to help them make purchase decisions, resulting in a 20% increase in sales conversions. Build strong relationships with potential customers, understand their needs, and recommend suitable products, leading to a 15% growth in customer retention. Negotiate and close sales deals, process online orders, and update CRM systems like Hubspot,...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SALES-CONSULTANT-72F0AB9DE2D756C64E/
Assistant Treasury Manager,"Bangalore, Karnataka",Permanent,28/01/2025 2:04:05 PM,"ABOUT AGRATAS Agratas is a wholly owned subsidiary of Tata Sons. We design, develop and manufacture high-quality, high-performance, sustainable batteries applied to multiple use cases in the mobility and energy sectors, to match our customers' requirements. Agratas is a scale-up business with a start-up mentality, driven by our pursuit of green growth and technological progress. We develop next-generation battery technologies at our state-of-the-art R&D Innovation Hubs in India and the UK. JOB SUMMARY We are seeking a detail-oriented professional to support key functions in treasury, risk...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/ASSISTANT-TREASURY-MANAGER-76AC65C326C72028AE/"
Orthopaedic Surgeon,"Mumbai, Maharashtra",Permanent,28/01/2025 2:04:05 PM,"Company - ANSSI Wellness. Designation - Orthopedic Surgeon Employment Type - Part Time Shift Time - (3PM - 7PM) OR (4PM - 8PM) Location - Powai, Mumbai WhatsApp your CV - HR Job Description - Orthopedic Surgeon duties and responsibilities: Conduct patient interviews Examine and assess patients' physical condition and problems Perform diagnostic tests such as MRIs, X-Rays, etc. Perform appropriate surgical treatments and procedures Prescribe and administer pain medications Supervise and oversee student residents Keep and update patients' medical records Adhere to relevant Orthopedic procedures...  more ->","https://jobserve.com//in/en/search-jobs-in-Mumbai,-Maharashtra,-India/ORTHOPAEDIC-SURGEON-E0D4A559F0F350FACC/"
Business Development Executive - IT Sales,"Ahmedabad, Gujarat",Permanent,28/01/2025 2:04:03 PM,"Location: Ahmedabad, Gujarat Benefits: US Shift (3 PM-12 AM) Alternate Saturdays Off Incentives over and above the salary. Key Responsibilities: Lead Generation & Sales : Identify and engage new business opportunities in international markets for our custom IT and digital marketing services, including online bidding for lead generation. Client Relationship Management: Build and maintain long-term, profitable relationships with clients and industry partners. Encourage repeat business and referrals. Sales Strategy & Market Expansion: Develop and execute a strategic plan to achieve revenue...  more ->",https://jobserve.com//in/en/find-jobs-in-India/BUSINESS-DEVELOPMENT-EXECUTIVE-IT-SALES-D3600BD623B9D691E1/
Head of Business Development,Tamil Nadu,Permanent,28/01/2025 2:04:06 PM,"A leading Engineering Industry in Coimbatore requires Head -Business Development Responsibilities Responsible for Business Development activities of Industrial products & EV products like VFD, Inverters, EV Charger, Smart Meters etc. Work closely with R&D to build new products with a proper ""Voice of Customer"", validation and build organization for Sales/Product Support. Should be familiar with building sales collaterals like brochures, digital marketing, participation in relevant trade shows. The candidate should be familiar with Budgeting, generation of 3-year business plan, and ""Go to...  more ->",https://jobserve.com//in/en/find-jobs-in-India/HEAD-OF-BUSINESS-DEVELOPMENT-876208EB0351E130D7/
Senior DevOps Engineer,Delhi,Permanent,28/01/2025 2:04:08 PM,"OpenShift Engineer (L3) Job Description We are looking for an experienced and highly skilled OpenShift Engineer (L3) to join our team. As an OpenShift Engineer, you will be responsible for designing, implementing, optimizing, and maintaining OpenShift environments to support mission-critical applications. In this role, you will provide advanced technical expertise, lead troubleshooting efforts, and work collaboratively with cross-functional teams to deliver secure, scalable, and high-performing containerized solutions. Key Responsibilities Platform Design & Deployment: Architect, deploy, and...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SENIOR-DEVOPS-ENGINEER-AA193E9766F8BFFC1C/
Hiring for Transaction Monitoring and EDD,"Gurgaon, Haryana",Permanent,27/01/2025 11:52:54 PM,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world's biggest brands-and we have fun doing it. We dream in digital, dare in reality, and reinvent the ways companies work to make an impact far bigger than just our bottom line. We're harnessing the power of technology and humanity to create meaningful transformation that moves us forward in our pursuit of a world that works better for people. Now, we're calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing., People who thrive on...  more ->",https://jobserve.com//in/en/find-jobs-in-India/HIRING-FOR-TRANSACTION-MONITORING-AND-EDD-64BD46D1D000DEDA08/
Hiring Freshers - for Education Sales,"Kolkata, West Bengal",Permanent,27/01/2025 6:47:38 PM,"Motion Education, Kolkata is looking for freshers to join its trainee program - Job responsibilities will include: Counselling and handling students for admission into center programs for JEE/NEET/Foundation and other education courses Approaching schools for tie ups and for conducting brand programs with schools Provide employee references for local team building Driving programs for generating brand awareness and lead generation with on field presence Salary: 8000 + incentives . Basic salary is indicative based on soft skills and willingness to learn and work closely with entrepreneurs. more ->",https://jobserve.com//in/en/find-jobs-in-India/HIRING-FRESHERS-FOR-EDUCATION-SALES-F520C84359DF70A78A/
Hiring for CA - Fresher,"Noida, UTTAR PRADESH",Permanent,27/01/2025 3:46:24 PM,"Key Responsibilities: GST Compliance: Preparation and filing of GST returns (GSTR-1, GSTR-3B, GSTR-9) . Ensuring timely reconciliation of GST input and output data. Addressing GST-related queries and notices from authorities. Budgeting and Forecasting: Assisting in the preparation of annual budgets and financial forecasts. Monitoring budget variances and providing analytical insights. Accounting Operations: Managing day-to-day accounting operations, including accounts payable/receivable, bank reconciliations, and general ledger entries. Preparing and maintaining financial records in...  more ->",https://jobserve.com//in/en/find-jobs-in-India/HIRING-FOR-CA-FRESHER-1F405C51B34BF746CA/
Sap Finance Control Consultant,Maharashtra,Permanent,27/01/2025 3:46:02 PM,"Minimum 6.5+ years of relevant experience into FICO is required. Must have minimum 1 implementation experience and S4 HANA experience is added advantage. Location - Bengaluru, Hyderabad, Pune Notice Period - 0 to 60 days more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/SAP-FINANCE-CONTROL-CONSULTANT-090E8E1305556D4CEC/"
Human Resources Associate,"Noida, UTTAR PRADESH",Permanent,27/01/2025 2:45:48 PM,"Hello Connections, we are hiring Position - HR Marketing Experience - Fresher Location - Noida 63 sector Shift timing - Night shift 7pm to 4am Qualification - MBA, BBA, BCA, Interested candidates please share your Resume on my email. more ->",https://jobserve.com//in/en/find-jobs-in-India/HUMAN-RESOURCES-ASSOCIATE-48CBE964583CD61C5A/
Site Civil Engineer,Chattisgarh,Permanent,27/01/2025 2:45:45 PM,"Company Description Savjani Architecture & Engineering Consultancy is a well-established multi-disciplinary firm with over 35 years of experience in various fields including Mass Housing, Institutional Buildings, Roads, Water Supply, Drainage, and Heritage Buildings. The company is located in Ahmedabad, India. Role Description This is a Full time on-site role for a Site Civil Engineer at Savjani Architecture and Engineering Consultants, for building project sites in and around Bhilai city. Qualifications Bachelor's degree in Civil Engineering or related field Minimum experience of 2+ years in...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SITE-CIVIL-ENGINEER-4CB0426298DDC1E260/
Urgent Opening- Manager/Sr Manager- Wealth Management,Delhi,Permanent,27/01/2025 2:45:28 PM,"Designation- Manager/Sr Manager- Wealth Management Job Profile: Develop and provide solutions to the client's basis their requirements Conduct timely and regular follow-up with the leads and tag them on broadcasts and news articles Increase client base by meeting new clients, taking reference from the existing investors and thereby building AUM Initiate portfolio review of the existing investors in a timely manner Upsell and Cross sell products to the existing investors and keep them updated on the primary and secondary market trends Share regular updates with the investors with regards to...  more ->",https://jobserve.com//in/en/find-jobs-in-India/URGENT-OPENING-MANAGER-SR-MANAGER-WEALTH-MANAGEMENT-DF41C8C6830AEB1EBA/
Gobal SAP Process Principal (SAP SD/Order Fulfillment ECC 6.0),"Hyderabad, Andhra Pradesh",Permanent,27/01/2025 1:44:58 PM,"Job Responsibilities: You apply standards for all ongoing development and configuration and approve all technical solutions by business process. You maintain the standards for SAP procedures and documentation, including functional specifications and technical specifications. You evaluate cross-functional solutions with other business process principals, advise the project team on the use of standard procedures and tools, and implement new business strategies through configuration interaction and the creation of programming specifications. You are responsible for the completeness and...  more ->",https://jobserve.com//in/en/find-jobs-in-India/GOBAL-SAP-PROCESS-PRINCIPAL-SAP-SD-ORDER-FULFILLMENT-ECC-6-0-1908DB00592D1460ED/
Marketing Design Coordinator,Delhi,Permanent,27/01/2025 1:45:00 PM,"Company Description BeeGraphy is a comprehensive platform designed to assist 3D artists, architects, and manufacturers in their work. The platform offers a parametric 3D modeling software with Real Time collaboration features, cloud computing and storage capabilities, a parametric 3D configurator for manufacturers, and a custom 3D model marketplace for users to buy, sell, and monetize their creations. Role Description This is a Full time on-site role for Growth, Marketing & Design with 0-3 years of experience at BeeGraphy in New Delhi. The person will be responsible for implementing...  more ->",https://jobserve.com//in/en/find-jobs-in-India/MARKETING-DESIGN-COORDINATOR-A41C712904FBB6BD22/
Admissions Counselor,"Gurgaon, Haryana",Permanent,27/01/2025 1:44:58 PM,"Student Counseling: Engage with prospective students via calls and emails. Understand their educational and career goals to recommend suitable online programs. Lead Management: Follow up with leads generated through various channels (website inquiries, ads, referrals, etc.). Maintain and update the database of leads in the CRM system. Program Promotion: Explain program details, curriculum, and benefits to potential students. Address inquiries about fees, schedules, certifications, and career outcomes. Admissions Support: Assist students through the application and enrollment process. Ensure...  more ->",https://jobserve.com//in/en/find-jobs-in-India/ADMISSIONS-COUNSELOR-E9929C35254DF7B9DF/
Accountant,Maharashtra,Permanent,27/01/2025 1:44:58 PM,"Company Description We suggest you enter details here. Role Description This is a Full time on-site role for an Accountant at Ecoteam Solar Private Limited located in Pune. The Accountant will be responsible for managing financial records, preparing financial statements, analyzing financial data, conducting audits, and ensuring compliance with financial regulations. Qualifications Financial Reporting, Financial Analysis, and Audit Preparation skills Experience with financial software and spreadsheets Knowledge of financial regulations and compliance Attention to detail and organizational...  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/ACCOUNTANT-B1387BA801ED1498D5/"
Senior Engineer - GPON Testing (ONT),"Bangalore, Karnataka",Permanent,27/01/2025 1:44:57 PM,"About Us: Tejas Networks is a global broadband, optical and wireless networking company, with a focus on technology, innovation and R&D. We design and manufacture high-performance Wireline and wireless networking products for telecommunications service providers, Internet service providers, utilities, defence and government entities in over 75 countries. Tejas has an extensive portfolio of leading-edge telecom products for building end-to-end telecom networks based on the latest technologies and global standards with IPR ownership. We are a part of the Tata Group, with Panatone Finvest Ltd....  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/SENIOR-ENGINEER-GPON-TESTING-ONT-8842A4C6248B27D640/"
Software Engineer,Delhi,Permanent,27/01/2025 1:45:00 PM,"Hi All, We have openings for FLEXCUBE BA with OBPM (Oracle Banking Payments). PFB the JD and if interested please mail me on asap. Location - PAN India Notice - Immediate to 30 days Exp -5-15 Years JD: Candidate ideally should have worked in Banks FLEXUBE and OBPM (Oracle Banking Payments) implementation experience Deep understanding of FLEXCUBE project implementation activities (PWT/User Training/Parameter & Product Configuration/Testing/Migration) Should be able to interact with senior and junior business stakeholders from various banks more ->",https://jobserve.com//in/en/find-jobs-in-India/SOFTWARE-ENGINEER-970CD1941FA10EAC33/
Wealth Management Advisor,"Gurgaon, Haryana",Permanent,27/01/2025 1:44:49 PM,"Company Description IntelliInvest offers a range of investment strategies tailored to individual and institutional clients. From model portfolios to AI-driven insights, IntelliInvest combines advanced technology and data analytics to optimize wealth creation for its clients. With a focus on education and support, IntelliInvest empowers clients with informed decision-making tools and resources. Role Description This is a Full time hybrid role for a Wealth Management Advisor at IntelliInvest. The role entails providing financial planning, retirement planning, investment advice, and wealth...  more ->",https://jobserve.com//in/en/find-jobs-in-India/WEALTH-MANAGEMENT-ADVISOR-0723096DC7061659BF/
We Are Hiring - Pre-Primary Teacher for English,"Kanpur Nagar, Uttar Pradesh",Permanent,27/01/2025 1:44:51 PM,"Sir Padampat Singhania Education Centre, Kanpur, is looking for a dedicated and passionate Pre-Primary Teacher for English to join our team. Eligibility : B.Ed. and NTT are a must Minimum 2 years of experience in Pre-Primary/Primary School Strong communication and interpersonal skills Commitment to fostering a positive and inclusive learning environment How to Apply : Send your CV to Visit: For more information, call . Join us in shaping the young minds of tomorrow! more ->",https://jobserve.com//in/en/find-jobs-in-India/WE-ARE-HIRING-PRE-PRIMARY-TEACHER-FOR-ENGLISH-F8E96E21CCFC259578/
Associate Business Manager,"Bangalore, Karnataka",Permanent,27/01/2025 1:44:56 PM,"About the Team With almost 4 Lakh entrepreneurs aboard the Meesho app, we are all set to democratise Internet commerce for everyone in India. Our primary responsibility, as the Business org, is to actively drive this mission from the frontlines . As an Associate Manager, you will play a huge role in driving growth across all categories. Our team holds end-to-end responsibility to launch and scale-up categories, by ensuring the right selection, competitive pricing, and conversion. Each category team has Senior Business Managers/Business Managers and a group of Assistant Business Managers, Key...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/ASSOCIATE-BUSINESS-MANAGER-1A0C6D2F622FBAC3A8/"
"Node.js Backend Engineer(Python, Generative AI)/Gurugram","Gurgaon, Haryana",Permanent,27/01/2025 1:45:01 PM,"Hi We are looking for Node.js Backend Engineer(Python, Generative AI)/Gurugram . Anyone interested can share your resume at Title: Node.js Backend Engineer(Python, Generative AI)/Gurugram Location: Gurugram We are currently, seeking a talented Backend Engineer with a strong background in Node.js/Python and a keen interest and experience in Generative AI to join our dynamic team. Roles and Responsibilities Design, develop, and maintain robust and scalable Back End services using Node.js. Collaborate with cross-functional teams to integrate AI-driven features into our products. Stay abreast of...  more ->",https://jobserve.com//in/en/find-jobs-in-India/NODE-JS-BACKEND-ENGINEER-PYTHON-GENERATIVE-AI-GURUGRAM-6A157382E2EAA46AB0/
Machine Learning Engineer/Data Scientist (with expertise in,"Gurgaon, Haryana",Permanent,27/01/2025 1:44:59 PM,"This role is responsible for managing the client expectations. Strategize with various stakeholders to meet customer requirements. KEY RESPONSIBILITIES Data Science: Develop machine learning models to support recommendation systems and NLP projects; provide actionable insights for product and service optimization. Data Engineering: Build and maintain scalable ETL pipelines, optimize data storage solutions (data lakes, columnar formats), and ensure data accuracy for analytics. Data Analysis and Insight Generation: Skilled in analyzing complex datasets to uncover trends and patterns; generate...  more ->",https://jobserve.com//in/en/find-jobs-in-India/MACHINE-LEARNING-ENGINEER-DATA-SCIENTIST-WITH-EXPERTISE-IN-89FEE66BB5F5A5771B/
Blue Collar Recruiter,"Gurgaon, Haryana",Permanent,27/01/2025 1:44:54 PM,"About Us: BetterPlace is a leading provider of workforce management solutions, committed to enhancing the employee lifecycle for blue-collar and gig workers. Our innovative platform helps businesses optimize their operations and improve workforce productivity. Join our dynamic team and contribute to meaningful changes in workforce management. Job Summary: We are seeking a highly motivated and results-oriented Recruiter to join our dynamic team. In this role, you will play a crucial part in sourcing, screening, and recruiting top talent for a variety of gig positions across various departments...  more ->",https://jobserve.com//in/en/find-jobs-in-India/BLUE-COLLAR-RECRUITER-CDBAE02DA1956B616B/
Franchise Sales Manager,"Jaipur, Rajasthan",Permanent,27/01/2025 1:44:50 PM,Open Positions : Sales Manager - ROM2 (Based in Pune/Nagpur) Sales Manager - Odisha (Based in Bhubaneshwar) Sales Manager - Rajasthan (Based in Jaipur) Sales Manager - Gujarat 2 (Based in Ahmedabad) Sales Manager - ROK (Based in Bangalore) Purpose The role holder is responsible for enhancing EuroKids Preschools presence in the assigned territory through new channel Appointments and end to end operationalization of the partner centres. Role and responsibilities Achieve high quality sign- ups by: Aggressively chasing leads provided by the central team. Proactively identifying new leads and...  more ->,https://jobserve.com//in/en/find-jobs-in-India/FRANCHISE-SALES-MANAGER-A0C95EB9340C353D90/
Weekend Drive D365 Functional (Distribution),"Chennai, Tamil Nadu",Permanent,27/01/2025 1:45:28 PM,"MS Dynamics Functional D365 (Distribution) Hybrid Chennai/Mumbai/Pune/Noida/Bengaluru Core Skills: MS Dynamics (D365) Functional consultant and experience in Distribution Modules - Order Entry, Inventory, Pricing Experienced with Configuration/Set up Preparation of Functional Documents Assist in Testing of Issues/Test cases Troubleshoot issues & provide resolution Generic Skills: Familiar with Fast Track Templates/SBD methodology Exposure to LCS and Microsoft Processes Experience/Exposure with RSAT, BPM, ADO Self-driven, ability to work independently and drive actions to conclusion and help...  more ->",https://jobserve.com//in/en/find-jobs-in-India/WEEKEND-DRIVE-D365-FUNCTIONAL-DISTRIBUTION-DF30DD04B7657A9C1B/
Database Administrator,"Bangalore, Karnataka",Permanent,27/01/2025 1:44:57 PM,"Summary Guidewire is looking for a proactive and solution-driven Cloud Platform Support DBA to join our dynamic Platform Support team. The Platform Support DBA will work collaboratively within the Product Development Operations (PDO) team, serving our customers in both Guidewire Cloud and on-premise environments. This role requires a keen understanding of our platform, backed by the continuous learning provided by Guidewire Education, Product Development, and Cloud Engineering teams. You will be learning new and exciting AWS processes as we embrace our journey to the cloud. In addition, you...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/DATABASE-ADMINISTRATOR-DA62B400464F0FF0E6/"
Human Resources Executive,Maharashtra,Permanent,27/01/2025 1:44:56 PM,"Position: HR Executive Location: Chinchwad, Pune. Salary: 20,000 - 30,000 per month Job Summary: We are looking for an HR Executive to join our dynamic team and focus on coordinating and managing the interview process. The ideal candidate should be organized, possess excellent communication skills, and be proficient in using Google Sheets and Google Forms. Key Responsibilities: 1. Candidate Coordination: Call applicants and schedule interviews. Coordinate with interviewers and candidates to ensure smooth interview processes. Communicate interview results and next steps to candidates. 2....  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/HUMAN-RESOURCES-EXECUTIVE-C78CD5C09FF9125813/"
